log_ret_y,count,Close Price_y,edge_count,node_count,degree
-0.003746672,1451,11.54416667,1329,2386,1.113998324
0.001010101,2588,11.55583333,2475,4414,1.121431808
-0.004118949,1471,11.50833333,1364,2388,1.142378559
-0.002537612,1077,11.47916667,987,1786,1.105263158
-0.000798867,1096,11.47,1014,1818,1.115511551
0.000363201,1188,11.47416667,1114,2021,1.102424542
0.00348003,2706,11.51416667,2596,4848,1.070957096
0.004549237,2386,11.56666667,2283,4110,1.110948905
0.0028777,2629,11.6,2521,4764,1.058354324
0.007871239,1241,11.69166667,1144,2089,1.09526089
0.001495674,2011,11.70916667,1920,3510,1.094017094
0.021126059,1365,11.95916667,1222,2211,1.10538218
0.005766908,1588,12.02833333,1477,2681,1.101827676
0.011297998,2878,12.165,2729,4858,1.123507616
-0.000753812,1691,12.15583333,1262,2289,1.102664919
0.00710434,1514,12.2425,1260,2231,1.129538324
0.005769182,1386,12.31333333,816,1492,1.09383378
0.020166161,1712,12.56416667,1470,2604,1.129032258
-0.00792413,7144,12.465,6948,12578,1.104786135
-0.008122213,2753,12.36416667,2544,4528,1.123674912
0.005980598,1188,12.43833333,1092,1954,1.117707267
-0.006519936,1281,12.3575,1171,2091,1.120038259
-0.017757381,1558,12.14,1453,2570,1.1307393
-0.010627386,1344,12.01166667,1251,2231,1.121470193
0.006500265,1301,12.09,1230,2228,1.104129264
0.006115807,3024,12.16416667,2874,5062,1.135519557
0.010223644,1403,12.28916667,1308,2328,1.12371134
0.000542336,1228,12.29583333,1093,1961,1.114737379
0.000880669,972,12.30666667,853,1551,1.099935525
-0.004955378,2636,12.24583333,1770,3139,1.12774769
0.000544255,4284,12.2525,3022,5644,1.070871722
-0.002315131,2948,12.22416667,2404,4257,1.129433874
-0.006428691,1863,12.14583333,711,1320,1.077272727
-0.009651919,1409,12.02916667,1249,2186,1.142726441
-0.004373944,1310,11.97666667,1170,2161,1.082832022
0.002571142,3009,12.0075,2600,4878,1.06601066
0.003878927,1282,12.05416667,973,1733,1.122908252
-0.000760746,5564,12.045,2599,4577,1.135678392
-0.003812433,4409,11.99916667,654,1216,1.075657895
-0.002364067,1232,11.97083333,935,1674,1.117084827
-0.002160355,1060,11.945,747,1391,1.074047448
0.00514927,4600,12.00666667,4508,8526,1.057471264
0.007674529,3407,12.09916667,3276,6090,1.075862069
0.008435975,2515,12.20166667,2320,4142,1.120231772
-0.002804092,956,12.1675,748,1378,1.08563135
0.000410846,1056,12.1725,898,1661,1.08127634
-0.000890381,2114,12.16166667,1995,3432,1.162587413
0.000821918,2103,12.17166667,1979,3358,1.178677784
0.001641812,1591,12.19166667,1484,2628,1.129375951
-0.004658819,2490,12.135,2397,4272,1.122191011
0,1453,12.135,1335,2369,1.12705783
0.003975058,932,12.18333333,835,1512,1.104497354
0.00735999,1190,12.27333333,1103,1937,1.138874548
-0.009756841,1170,12.15416667,1033,1872,1.103632479
-0.003778126,2347,12.10833333,2273,4255,1.068390129
-0.001791004,2301,12.08666667,2191,3880,1.129381443
0.005020471,963,12.1475,822,1486,1.106325707
0.007926246,2472,12.24416667,2393,4525,1.057679558
0.002107626,1194,12.27,1125,1977,1.138088012
0.009799693,2299,12.39083333,1432,2527,1.133359715
-0.004381094,1576,12.33666667,1022,1811,1.1286582
0.001080205,2912,12.35,2649,4651,1.139109869
-0.000945116,1375,12.33833333,1168,2091,1.117168819
-0.007661314,1492,12.24416667,993,1812,1.09602649
-0.028371187,1366,11.90166667,944,1691,1.116499113
-0.000910651,7210,11.89083333,7121,13227,1.076736977
0.005521208,1755,11.95666667,1659,3040,1.091447368
0.001601727,2405,11.97583333,2313,4074,1.135493373
-0.006632481,1096,11.89666667,1018,1845,1.103523035
-0.010562735,1010,11.77166667,955,1722,1.109175377
-0.006249133,1268,11.69833333,1223,2152,1.1366171
0.003200458,1375,11.73583333,1303,2286,1.139982502
0.000567899,1330,11.7425,1213,2159,1.123668365
-0.007479466,3007,11.655,2829,5010,1.129341317
0.002285389,831,11.68166667,693,1290,1.074418605
0.001781833,1005,11.7025,895,1627,1.100184388
0.00652994,1033,11.77916667,852,1535,1.11009772
0.00971565,1997,11.89416667,1741,3023,1.151835925
0.008233371,1652,11.9925,1554,2918,1.065113091
-0.006903071,2950,11.91,2904,5268,1.102505695
0.002585516,2500,11.94083333,2427,4589,1.057746786
-0.011299555,1102,11.80666667,1032,1815,1.137190083
0.000846621,859,11.81666667,800,1459,1.096641535
0.005415493,1188,11.88083333,1121,1974,1.135764944
-0.005486017,1088,11.81583333,993,1757,1.1303358
-0.010207787,2518,11.69583333,2439,4283,1.138921317
0.004265915,5437,11.74583333,5358,10140,1.056804734
0,2844,11.74583333,2769,5169,1.071387115
-0.001206829,1164,11.73166667,1088,1935,1.124547804
-0.002418037,1335,11.70333333,1284,2268,1.132275132
-0.001211215,1061,11.68916667,988,1786,1.106382979
0.005332588,2310,11.75166667,2220,3986,1.113898645
-0.000638411,1122,11.74416667,1050,1886,1.113467656
0.001843188,2443,11.76583333,1375,2406,1.142975894
0.003746779,1807,11.81,1171,2128,1.10056391
-0.000635257,1471,11.8025,1353,2415,1.120496894
0.003664815,2151,11.84583333,984,1835,1.072479564
0.001054667,3269,11.85833333,2525,4501,1.121972895
-7.03E-05,1421,11.8575,921,1688,1.091232227
0.000702543,1392,11.86583333,879,1598,1.100125156
-0.001335254,917,11.85,305,607,1.004942339
-0.001335254,917,11.85,953,1720,1.108139535
-0.001335254,2130,11.85,305,607,1.004942339
-0.001335254,2130,11.85,953,1720,1.108139535
-0.005076153,889,11.79,804,1459,1.102124743
-0.001273075,723,11.775,671,1235,1.086639676
-0.001487305,3878,11.7575,3803,6897,1.102798318
-0.000354447,1122,11.75333333,1068,1906,1.120671563
-0.003266816,2901,11.715,2850,5292,1.077097506
0.000426712,1141,11.72,1028,1847,1.11315647
0.0027692,999,11.7525,891,1661,1.072847682
0.000921365,1221,11.76333333,1056,1931,1.093733817
0.003606411,2688,11.80583333,2603,4638,1.12246658
0.000282306,1360,11.80916667,1248,2197,1.136094675
7.06E-05,7760,11.81,7640,13793,1.107808309
-0.000847099,1112,11.8,1019,1852,1.100431965
0.001058761,1221,11.8125,1152,2061,1.11790393
-0.002542913,1181,11.7825,1050,1893,1.109350238
-0.003258716,2496,11.74416667,2381,4233,1.12497047
0.005589967,1157,11.81,1025,1850,1.108108108
0.00260738,1326,11.84083333,1170,2115,1.106382979
0.001687645,1234,11.86083333,1157,2064,1.121124031
-0.004436158,1425,11.80833333,1272,2248,1.131672598
-0.001695155,873,11.78833333,810,1504,1.07712766
-0.000990169,3065,11.77666667,2901,5146,1.127477653
0.000353744,1055,11.78083333,902,1637,1.102015883
-0.002904405,1032,11.74666667,958,1745,1.097994269
-0.006690893,808,11.66833333,706,1293,1.092034029
-0.002001716,849,11.645,787,1427,1.103013315
0.005637436,2086,11.71083333,1829,3520,1.039204545
0.003906116,2372,11.75666667,2283,4131,1.10530138
0.003537823,953,11.79833333,755,1374,1.098981077
