Close Price,count,edge_count,node_count,degree,transitivity,centrality,average_clustering,number_connected_components,density,log_ret
14.30833333,1569,1113,2055,1.083211679,0.000384271,0.552456781,0.0035791,1162,0.000527367,-0.003952574
14.06666667,1375,1102,2035,1.083046683,0.000996817,0.527326813,0.01125804,1153,0.000532471,-0.017034186
13.88416667,1256,1111,1999,1.111555778,0.000164354,0.566656231,0.003428185,1151,0.000556334,-0.01305883
13.83833333,1347,1290,2323,1.110632802,0.000204752,0.5965462,0.005357323,1336,0.000478309,-0.003306583
13.68333333,1209,1072,1960,1.093877551,0.000323241,0.583352029,0.003623733,1109,0.000558386,-0.011263972
13.425,3997,3839,7227,1.062404871,1.90E-05,0.705758256,0.001650781,3879,0.000147025,-0.019059907
13.10916667,1155,1072,2012,1.065606362,0.000275857,0.482103707,0.003257263,1109,0.000529889,-0.023806909
13.33583333,715,628,1207,1.04059652,0.000682594,0.642444238,0.002937411,661,0.00086285,0.017142917
13.34083333,1583,1329,2355,1.12866242,5.69E-05,0.581602729,0.001140431,1358,0.000479466,0.000374859
13.39583333,1215,1089,2040,1.067647059,0.000138814,0.703263729,0.001629902,1135,0.000523613,0.004114206
13.36333333,989,878,1652,1.062953995,0.000292436,0.512806093,0.002133777,935,0.000643824,-0.002429075
13.01666667,2646,2513,4594,1.094035699,2.51E-05,0.703615863,0.001594169,2552,0.000238196,-0.02628405
12.94833333,1708,1573,2794,1.125984252,4.83E-05,0.585901555,0.001678256,1623,0.000403145,-0.005263508
13.00666667,1408,1351,2393,1.129126619,3.77E-05,0.600383974,0.001407888,1393,0.000472043,0.004494967
13.24166667,2012,1912,3494,1.094447624,3.57E-05,0.658109596,0.001338678,1959,0.000313326,0.017906377
13.1425,1063,959,1793,1.069715561,0.000457148,0.537723938,0.004948438,1003,0.000596939,-0.00751717
12.8925,1852,1314,2368,1.109797297,0.000120542,0.608248344,0.002574357,1365,0.000468862,-0.019205507
13.09833333,2545,2190,4042,1.083621969,1.02E-05,0.703722061,0.000670735,2231,0.000268157,0.015839249
13.06833333,929,831,1558,1.066752246,0.000270092,0.508137307,0.002275645,886,0.000685133,-0.002292995
12.97916667,1038,934,1720,1.086046512,0.000289415,0.470917092,0.003992248,978,0.00063179,-0.006846493
12.84166667,1786,1597,2832,1.127824859,0.000137488,0.543646413,0.004165503,1643,0.000398384,-0.010650415
12.80916667,5202,5039,9657,1.043595319,3.86E-06,0.706840895,0.000991379,5084,0.000108077,-0.002534032
12.6175,1545,1380,2565,1.076023392,0.000604849,0.470768689,0.006127941,1432,0.000419666,-0.015076321
12.74916667,2399,2258,4164,1.084534102,4.63E-06,0.703283922,0.000480308,2307,0.000260517,0.010381171
13.40166667,1487,1384,2434,1.137222679,0.000150243,0.557788138,0.002914055,1417,0.000467416,0.049913167
13.67,941,837,1538,1.088426528,0.000260388,0.617583325,0.002931065,879,0.00070815,0.019824573
13.59166667,1137,1066,1912,1.115062762,0.00012528,0.598034299,0.001854317,1103,0.000583497,-0.005746791
13.40416667,2803,630,1216,1.036184211,0.000376979,0.48014445,0.00194378,680,0.000852827,-0.013891256
13.545,1529,1406,2480,1.133870968,0.000157425,0.576662659,0.004208063,1443,0.00045739,0.010451872
13.63916667,2712,2574,4752,1.083333333,3.59E-05,0.702637047,0.002322864,2621,0.000228022,0.00692808
13.815,2959,2776,5219,1.063805327,3.17E-05,0.706712572,0.003093345,2815,0.000203872,0.012809403
13.84083333,1077,978,1816,1.077092511,0.000328926,0.445379286,0.003545922,1014,0.000593439,0.001868202
13.87416667,1313,1194,2146,1.11276794,0.000598902,0.539964835,0.007021124,1236,0.000518773,0.002405437
13.8925,1356,1211,2290,1.057641921,0.00011419,0.704392438,0.001625796,1258,0.000462054,0.001320528
13.63333333,878,771,1438,1.07232267,0.000293638,0.592386634,0.003151915,813,0.000746223,-0.018831352
13.635,2071,1858,3473,1.069968327,1.40E-05,0.704037012,0.001478069,1902,0.000308171,0.000122242
13.91,1349,1185,2131,1.112153918,6.60E-05,0.566038013,0.002046509,1228,0.000522138,0.01996799
14.24416667,1588,1485,2614,1.136189748,3.21E-05,0.595509685,0.001466463,1526,0.000434822,0.02373946
14.1225,1567,1497,2643,1.132803632,5.26E-05,0.599498132,0.001540467,1536,0.000428767,-0.008578196
14.03583333,1321,1184,2166,1.093259464,0.000151024,0.682087942,0.002513594,1233,0.00050497,-0.006155687
14.08333333,1512,1290,2319,1.112548512,9.24E-05,0.592321792,0.002756046,1341,0.000479961,0.003378482
13.98333333,2126,1894,3563,1.063149032,1.46E-05,0.704239852,0.001365445,1947,0.00029847,-0.007125921
14.00833333,5753,5437,10345,1.051135814,9.94E-07,0.706673975,0.000517106,5485,0.000101618,0.001786246
13.95333333,829,651,1244,1.046623794,0.002116701,0.618209087,0.0110135,700,0.000842014,-0.003933962
13.87416667,1543,1449,2591,1.118487071,7.35E-05,0.586546235,0.002522468,1505,0.000431848,-0.005689831
13.88166667,1716,1641,2937,1.117466803,1.57E-05,0.592812875,0.000685332,1687,0.000380609,0.000540427
13.965,1539,1418,2524,1.123613312,7.94E-05,0.647203467,0.002734667,1460,0.000445348,0.005985175
13.93333333,3878,2161,4039,1.070066848,9.55E-06,0.703588578,0.000991049,2213,0.000264999,-0.002270149
14.04166667,1500,1306,2329,1.121511378,9.41E-05,0.582394727,0.002374626,1355,0.000481749,0.007745049
14.02916667,1141,860,1584,1.085858586,6.59E-05,0.611346716,0.001268639,899,0.00068595,-0.000890604
14.2225,1271,1114,1983,1.123550177,0.000176191,0.502231905,0.003566026,1149,0.000566877,0.013686722
14.1775,888,825,1513,1.090548579,7.46E-05,0.610192622,0.001340236,851,0.000721262,-0.003169017
14.1575,1761,1659,3007,1.103425341,2.85E-05,0.566160147,0.000896897,1688,0.000367074,-0.001411682
14.17666667,2144,2066,3799,1.087654646,2.07E-05,0.709547535,0.001585214,2101,0.000286376,0.001352902
14.28333333,930,862,1562,1.103713188,0.000244585,0.429661322,0.004054631,895,0.000707055,0.007495936
14.27333333,666,598,1146,1.043630017,0.001584906,0.6531442,0.009504032,630,0.000911467,-0.000700362
14.49166667,1850,1781,3452,1.031865585,4.74E-06,0.707102466,0.000585812,1811,0.000299005,0.015180777
14.51333333,1491,1385,2624,1.055640244,0.000167347,0.706508477,0.003268541,1416,0.000402455,0.001493996
14.605,1031,967,1740,1.111494253,0.000205111,0.547835676,0.003068498,1000,0.000639157,0.006296169
