,wow1,wow2
53,-0.10044132743401768,-0.1081860363483429
54,-0.10311581138207376,-0.10872124135494232
55,-0.13400862777986633,-0.10464523732662201
56,-0.11727341903813367,-0.10888542234897614
57,-0.12976462363546643,-0.10889245569705963
58,-0.14149352261711406,-0.10888440907001495
59,-0.10461010698241799,-0.1088850349187851
60,-0.10093619950967525,-0.10878370702266693
61,-0.12349846232399132,-0.1063099354505539
62,-0.10586832450822356,-0.10890340805053711
63,-0.11914245315316235,-0.10583838820457458
64,-0.12354997275232626,-0.10578826069831848
65,-0.1259718185192836,-0.10595567524433136
66,-0.09220052047755364,-0.10745227336883545
67,-0.024230516778387112,-0.1155087798833847
68,-0.03752073611889992,-0.12274868786334991
69,-0.0886596821065021,-0.1161646693944931
70,-0.10319309782126543,-0.10233494639396667
71,-0.014554435225691303,-0.10261785984039307
72,-0.09711357194109732,-0.1013607382774353
73,-0.087716920647175,-0.10478371381759644
74,-0.005796931553671891,-0.10197274386882782
75,-0.04665991251599334,-0.09934857487678528
76,-0.15884601274747326,-0.10162395238876343
77,-0.09443497024856827,-0.09850629419088364
78,-0.11884201823823892,-0.09824085235595703
79,-0.07285242163943406,-0.09792672097682953
80,-0.10218523678265148,-0.10535843670368195
81,0.03390805409933095,-0.10217814147472382
82,-0.10069992535206646,-0.10609790682792664
83,-0.11335953559709433,-0.10703293979167938
84,-0.09195686052430288,-0.1069004237651825
85,-0.1708901182353283,-0.1067214161157608
86,-0.09724690842879326,-0.10411752760410309
87,-0.07750437958221808,-0.12819747626781464
88,0.011561274695277513,-0.10683779418468475
89,0.052766117577523114,-0.11178170144557953
90,-0.10572014512630906,-0.11292579770088196
91,-0.25027425411136506,-0.11040914058685303
92,-0.07401017927230404,-0.111334428191185
93,-0.19172028422050874,-0.10978272557258606
94,-0.14210391138872958,-0.10691732168197632
95,-0.1162576077223122,-0.1077089011669159
96,-0.12743774149356954,-0.1004515290260315
97,-0.018296270627459893,-0.09970881044864655
98,-0.12519125935234168,-0.10288101434707642
99,-0.10375220789908346,-0.09912443906068802
100,-0.10118035858346819,-0.09883789718151093
101,-0.12719817551714688,-0.09823808819055557
102,-0.0905738747467754,-0.11652667820453644
103,-0.0429670562883815,-0.12294583022594452
104,-0.0676907724944188,-0.09973226487636566
105,-0.08259016834673362,-0.10578913986682892
106,-0.14567345513286756,-0.09968346357345581
107,-0.10569373927286341,-0.09853505343198776
108,-0.0406877926229728,-0.10424502193927765
109,-0.094491335218367,-0.10114660859107971
110,-0.11209137725382372,-0.09908854961395264
111,-0.202574593290215,-0.0920855700969696
112,-0.15054524596492458,-0.10079622268676758
113,-0.2111979404907906,-0.12822219729423523
114,-0.0910820210520904,-0.0986630991101265
115,-0.03885805236681816,-0.10363034904003143
116,-0.12490354012742134,-0.09904143214225769
117,-0.11606847074638309,-0.10842044651508331
118,-0.1073374739403,-0.10713973641395569
119,-0.1336429328540532,-0.11379374563694
120,-0.13474724299553167,-0.1130598932504654
121,-0.08846782373523587,-0.12240180373191833
122,-0.06548675719265454,-0.12698079645633698
123,-0.041949016755853885,-0.12524354457855225
124,-0.07543749170750581,-0.12414717674255371
125,-0.09496096011326612,-0.11151084303855896
126,-0.12251545035808435,-0.11215876042842865
127,-0.10385731436659029,-0.11932970583438873
128,-0.1360001425107986,-0.10446727275848389
129,-0.16432049757612058,-0.09884113073348999
130,-0.12091193054576033,-0.09850601851940155
131,-0.10348873167192602,-0.10353127121925354
132,-0.1175658442567374,-0.09831354022026062
133,-0.12881442290329642,-0.1284942328929901
134,-0.11124129178373876,-0.22506378591060638
135,-0.11413181173980058,-0.11320379376411438
136,-0.11483578561307435,-0.12296508252620697
137,-0.08793734178565844,-0.11330148577690125
138,-0.06931347279614933,-0.13570842146873474
139,-0.09134725608496791,-0.11277009546756744
140,-0.10283591765422541,-0.11225743591785431
141,-0.11140215714610026,-0.10166722536087036
142,-0.1398950237197679,-0.10086081922054291
143,-0.10201119226121202,-0.09840421378612518
144,-0.0797484671332257,-0.11263133585453033
145,-0.07509923652769002,-0.12983107566833496
146,-0.06980933717098005,-0.13388347625732422
147,-0.07635174387681665,-0.13402153551578522
148,-0.062203542266212296,-0.13103951513767242
149,-0.047519368380066554,-0.11366792023181915
150,-0.09414010884636582,-0.11514365673065186
151,-0.041341896035407374,-0.13891173899173737
152,-0.1363571087690348,-0.11827148497104645
153,-0.13870368834661406,-0.13010446727275848
154,-0.0983015917277924,-0.10239028930664062
155,-0.06738801429220975,-0.10945558547973633
156,-0.02511379970643808,-0.11170755326747894
157,-0.04061858718303543,-0.1373322606086731
158,-0.12837329541459114,-0.1382470726966858
159,-0.14928162724182328,-0.091639444231987
160,-0.03664930136181442,-0.14238965511322021
161,0.0353964790913934,-0.10265053808689117
162,-0.006921265935949605,-0.10816188156604767
163,-0.11767714813764293,-0.09955202043056488
164,-0.059419311217989365,-0.10808883607387543
165,-0.203504722246296,-0.11022888123989105
166,-0.1385534174119514,-0.12032009661197662
167,-0.22619477774514313,-0.10288071632385254
168,-0.10800259959804097,-0.10263052582740784
169,-0.2605564106081333,-0.10576392710208893
170,-0.29443812718599754,-0.13810837268829346
171,0.041484282053885935,-0.10990680754184723
172,-0.10987680911773914,-0.09673166275024414
173,-0.12371196113590766,-0.09748269617557526
